full_address,n,newest_created,oldest_created,newest_close,row_n,cum_houses,cumsum_wo,cumpct_wo
2110  MOUNT ROYAL TERR,1,2017-01-03T15:13:00Z,2017-01-03T15:13:00Z,2017-01-10T00:00:00Z,9208,0.712859022992955,25510,0.8730620486669632
2110  VINE ST,1,2016-08-26T13:49:00Z,2016-08-26T13:49:00Z,2016-08-29T00:00:00Z,9209,0.7129364403499264,25511,0.8730962729730655
2110  WESTWOOD AVE,1,2017-03-16T22:00:00Z,2017-03-16T22:00:00Z,2017-03-21T00:00:00Z,9210,0.7130138577068978,25512,0.8731304972791677
2110  WILHELM ST,1,2018-03-12T12:10:00Z,2018-03-12T12:10:00Z,2018-04-18T00:00:00Z,9211,0.7130912750638693,25513,0.8731647215852698
2110 W NORTH AVE,1,2019-06-10T11:13:00Z,2019-06-10T11:13:00Z,2019-06-07T00:00:00Z,9212,0.7131686924208408,25514,0.873198945891372
2111  CHRISTIAN ST,1,2019-07-01T14:49:00Z,2019-07-01T14:49:00Z,NA,9213,0.7132461097778122,25515,0.8732331701974743
2111  ORLEANS ST,1,2016-05-05T14:37:00Z,2016-05-05T14:37:00Z,2016-05-09T00:00:00Z,9214,0.7133235271347836,25516,0.8732673945035765
2111  SIDNEY AVE,1,2017-12-05T22:00:00Z,2017-12-05T22:00:00Z,2017-12-19T00:00:00Z,9215,0.7134009444917551,25517,0.8733016188096786
2111 W LEXINGTON ST,1,2016-01-21T08:18:00Z,2016-01-21T08:18:00Z,2016-01-22T00:00:00Z,9216,0.7134783618487265,25518,0.8733358431157808
2112  BOYD ST,1,2018-07-01T22:00:00Z,2018-07-01T22:00:00Z,2018-07-02T00:00:00Z,9217,0.7135557792056979,25519,0.8733700674218831
2112  GREENMOUNT AVE,1,2019-03-06T10:49:00Z,2019-03-06T10:49:00Z,2019-03-07T00:00:00Z,9218,0.7136331965626693,25520,0.8734042917279852
2112  HERBERT ST,1,2017-03-24T09:54:00Z,2017-03-24T09:54:00Z,2017-03-29T00:00:00Z,9219,0.7137106139196407,25521,0.8734385160340874
2112  PENROSE AVE,1,2018-02-15T10:41:00Z,2018-02-15T10:41:00Z,2018-03-08T00:00:00Z,9220,0.7137880312766122,25522,0.8734727403401896
2112  VINE ST,1,2017-12-13T10:17:00Z,2017-12-13T10:17:00Z,2018-01-16T00:00:00Z,9221,0.7138654486335837,25523,0.8735069646462919
2112 E FAYETTE ST,1,2018-12-04T22:00:00Z,2018-12-04T22:00:00Z,2018-12-06T00:00:00Z,9222,0.7139428659905551,25524,0.873541188952394
2112 E HOFFMAN ST,1,2017-09-12T08:01:00Z,2017-09-12T08:01:00Z,2017-09-13T00:00:00Z,9223,0.7140202833475265,25525,0.8735754132584962
2112 N PULASKI ST,1,2016-10-02T22:00:00Z,2016-10-02T22:00:00Z,2016-10-04T00:00:00Z,9224,0.714097700704498,25526,0.8736096375645984
2112 W FAIRMOUNT AVE,1,2017-02-16T15:57:00Z,2017-02-16T15:57:00Z,2017-02-24T00:00:00Z,9225,0.7141751180614694,25527,0.8736438618707005
2112 W LEXINGTON ST,1,2019-05-23T08:47:00Z,2019-05-23T08:47:00Z,2019-06-18T00:00:00Z,9226,0.7142525354184408,25528,0.8736780861768028
2113  WESTWOOD AVE,1,2016-02-08T09:46:00Z,2016-02-08T09:46:00Z,2016-02-10T00:00:00Z,9227,0.7143299527754122,25529,0.873712310482905
2113 E FEDERAL ST,1,2016-06-20T16:31:00Z,2016-06-20T16:31:00Z,2016-06-22T00:00:00Z,9228,0.7144073701323836,25530,0.8737465347890071
2113 W BALTIMORE ST,1,2017-03-01T16:00:00Z,2017-03-01T16:00:00Z,2017-03-06T00:00:00Z,9229,0.7144847874893551,25531,0.8737807590951093
2114-2116  EDMONDSON AVE,1,2019-05-04T09:24:00Z,2019-05-04T09:24:00Z,2019-06-12T00:00:00Z,9230,0.7145622048463266,25532,0.8738149834012116
2114  LLEWELYN AVE,1,2017-01-05T14:34:00Z,2017-01-05T14:34:00Z,2017-01-17T00:00:00Z,9231,0.714639622203298,25533,0.8738492077073138
